n_groups,relay_url,relay_pubkey,all_urls_seen
3,,56f32eee94354777fffd88b94208bf85c45f0273f56cc21cd45ff0b0de000e95,
3,,8cd48294c3383698790474e57e4f87d104fa82e68918795ab0b036722b43b463,
3,,8f1578e14be6b544f28c164caf74a059dfa9c38a41df730ca9c8b992c5022db7,
3,,d1f71ae0f9f19678451665c627c9fa6efbf35563d5aaf4fcc77ed68e52814cd9,
3,,f539cba587d96f6a29ab5ab2563b522c8bd90f45898363bad887a91f941b5e1b,
3,,f72f13bf887feeea1b91f35a5923b30749b049eb6867b0bafabaa595cc3f4abe,
3,,3834ef40e119dfcbc876c29b2f41bb677e659a600256c7bc4aecabeda7eb3a07,
3,,2d19ccc88867233d59797c59b3ff659939a5171760bb8b03376cb3f9f0676cca,
3,,6b4d418aa27f19f800e9c045746b64cb48af39b2d07a4e1b542c0082745671f2,
3,,6c1ca2cc87853c37a9139caad0f6c1f91433b81baae8a46f4cb80e1aab6c8b3f,
3,,cf208453d5d406498483bff7c198645405efcb930c0c31bbf999aa994394b708,
3,,4cc9ce67408998bd0921eaf557143e95643a674fe146cd182cdf679333a5855e,
3,,470b3a3c546fc0f4039c2c896e3dab303539cc5f9cce56114cab5f47508a215d,
3,,d8ae66f39d0df9c1629b43033a8015d3ba30272b422aa98beb23fa5e5d98b3f6,
3,,9890220339dbd2c310fdb050cf61ab191ec9d1b3ce055d07117c3daca587489e,
3,,0ca95ae8be6adbedd5baeb2c0ae9b4fc67ab38bf9e7e278e6e5d982f1bf4f0c9,
3,,0621c0c554d8ec6a9f7e1da1cdcb2fdac5e4355fe78cef8746183fe9908b1e0c,
3,,0073382900c059afa6aeefc9eaec044e0293007c6f218b5847e0f3780b5600a5,
3,,e4f7437e7998f145f8afde637d4ed0ea5ecd4ba36e2dac5d091e6fd79ff1827e,
3,,63ec9a242f5f54cd071d459983962a63c4fdd3040181d22923c8f1e5f981383a,
3,,22aea6502c94a85a568a40e49869cb190ed8a8512dad18bb7ab5ee2283380422,
3,,22e021db6f17385a48a3d4d79223d6abd3124a5407518c9764382a7c616ef1c5,
2,wss://armada.dreamith.to,8251625ff5efe4cb72f35e5432f14d6e066edd33f899511349a04289b530162f,wss://armada.dreamith.to
2,wss://groups.libernet.app,9256a058c9441dd51c97b82a9754b0e6add2f7694db37078058becf83ed0b0cc,wss://groups.libernet.app
2,wss://groups.sharegap.net,edbf1f9b4b2f85d17f13f63f5e07e2f3fbbffe0466b2b7d2021104a6902a3da6,wss://groups.sharegap.net
2,wss://pipe.imwald.eu,b026b2bbcdeab1bcce5861688019b4c8349473dac318e303d2dc4502564f5053,wss://pipe.imwald.eu
2,wss://pymd.kamp.site,762788c8a8d45bfc132c9b886f2512bdb4222a517556f3a510efc786d15b99f7,wss://pymd.kamp.site
2,wss://relay.littlebitstudios.com,0539f764f63c001f8c577beb320fa2c40dc071928938a6a223297739c4630eb5,wss://relay.littlebitstudios.com
2,wss://relay.mynd.my.id,a82a8dc547229d01483737cc7694211752226841e271f76e62f636fd5ee0c92a,wss://relay.mynd.my.id
2,wss://relay.zap.stream,f570c2259560d8ffc98dabefcde879cf5734bc6b32dcd040525a8e1f4c3231b1,wss://relay.zap.stream
2,wss://support.flotilla.social,81266289e0ce093b72e040d816118624ceb741fb110f7e2475827dac55823584,wss://support.flotilla.social
2,,32d1f28407f9be528b0bded28b41410169a4ffafbf32c0829798a90dd9fa6bb5,
2,,395434a2abdf7b674b9fb0dc470e7e7cc1892f83be15c1a8b1c7780d8a9f50d0,
2,,73d985427ffa98157200e1c2534ac03781a5175bf5e721cd4db0223c5e026b67,
2,,d88e847e327b5d753d4bde697ddfb5e0dff73c2e114bf630ada99a58f02264bb,
2,,f6b1203ef7ae1d3aaf22eabd4e1a78793e17a5d0960c87b87a5d7359998f2a99,
2,,6108aa4124afb988bf53c79fc7cf44e6c2277999c6062106bb3c214bcc550d16,
2,,1fc679049e30714e17c153cc5131a7e81b72aecf7a3b4858eee239f2d0045394,
2,,c9cd2704eda2ce36e30d53284e8437fb9106775ffb25dc0a8d1915314e0c78fa,
2,,1a034301559d94a8d4ac409a1178bf3fd5171979fcbe4040b58be2fc6bb99469,
2,,3a34cf83d35dc9bdea706da384e5556271a6cd61cb69617db6a8b723f5bbc16c,
2,,d31f98000231801e1aaaf0fd92f9bc2eaea0f112a572fc9a13ebe09eeb6544f2,
2,,139296e56a5a21a2f13166deb88b0e73990b38f1d5dd1912633a9e38aedcc34d,
2,,081d5c446e77309ff5a396cc13a4b136dc844338579136c90d1e3f0d70e87027,
2,,ea2fa74716336d16daead95678a3fe27a18c69632a92c089f832c0325696d42c,
2,,15493b186e634aa66fc5637ee5115c7eeeebe65609c5d8cd0c9b7f0d08b3dd0b,
2,,6106ee36530fb546d9edcdab39caa5c14fa159a0a85044799095ba9ca37e908b,
2,,98e5ca0b3c8bfa0ade07e11f3a086987f4590e43577f6b9d903440953165d497,
2,,6cbc6befa29048c79000688c6dae2c4bea877ec1e5aa6d83a514694fcfa68da6,
2,,6252150f083957dfdb057a02f6a108a910f2d919e539916c2b0d9e0b4cb6d657,
2,,8215eea7f68ef85639f6b28b11841b2420c156a1725b9ae77d9e749f3c13373f,
2,,dd24948d2c90d248ff9031c71828b4e86c583667b6bcb7cc2bdb9f8cbd22ccfd,
2,,285314c8c025115180a57a495a5dfca5b517e74c4ab9fceb0207a856732abe18,
2,,cebdd42b29f4ff8a10e8af3a148fb9a413d8bb07cee970a33122d4b9f05f328a,
2,,79023e27d699a7bf2862a22d4724069a141b97051d4b7fb85d59cb6e086024c2,
2,,774b546770b4e531c0f25c9a8c0a3492a536cdd4bab5beae194d693cc05361ac,
2,,082478aa79c444097f999b4a30e0c4cf3cd8d6db8b3d60cfbeccfc0f661c2467,
2,,b005b7ae9399de66795df94c96b795544e625a335d1c1ff0c4cf1e5691253739,
2,,5fb8875bc4c3973cd46c75d635086d57c4503100f8509cd2fe615ed086e6dfc4,
2,,c1d1abdae7a6c729370b5a7c3f141c567b1572db2c1fc8a4b2d9533445882017,
2,,62e0bb7664aceaa1d308e2d89e9e3a95cfcb88c32951069c3f06632c52e9cbde,
2,,feeb965a576e778045f33045ee92d9522773235c4be22736078b10e0b89d5980,
2,,502069150214833890f70fd3dc3adab4e5cffdd1186efe2af84f0fa24873d4de,
2,,098069abf1ff3da3b0b0028b65465f990df692319796894387db21cc9edbcdfe,
2,,334006c5d8fb2c35bf809364c91955f33b11408de95df47f9f22c1f3fe610189,
2,,e95c17a9b3535c27dafd4b4bbb263eddb1cd2d4692ee945b6e523c0740a52a76,
2,,d6679c4b00ca84d7f6e295baee5e7966da63331facc2448756b6746872668eaa,
2,,daf0812f9c0d157fc31bc205d68c6187f480b1c75874a7177264ef12d566697e,
2,,459fd777db153a6dce4b400a0405ca1a3e277b8829904e9dc3181640a75a836a,
2,,45fbcd61fd883d47f2aaab25432ecf49ba0bf2829fea4b526e98c202a5e59373,
2,,f9b47aaed1d1cce2a9ec5283968ca1668620fec52db97c8785c84959e537850f,
2,,bd8838000b44156ece496278b72412dd5f9ab0f4e35f9cdd564a2ffffdf7b1ef,
2,,b1d88e6dba79ee3a94df0043dd799ff2c1ef33b6258cc86ecae80917f60af6e8,
2,,72d8935880e09b62461d80074dcffdf68d516f6fb50311c997b078e30ffca231,
2,,5c976a9d131cb7ce001662e2a20ce9ba65b087c6d116c62246f7b7a13e8493b9,
2,,602469b30e020ef8c1c0bb2768c12e30dfb320c86604c29bc1ad5d8c3ecdcb16,
2,,76c71aae3a491f1d9eec47cba17e229cda4113a0bbb6e6ae1776d7643e29cafa,
2,,781d1867c8b2f01c8d999ea4c322cb627f79a123f5672af8742b37bc25a77784,
2,,7b1a2aa46617ff4d97a0612d2c260321af1415b9585caf6ae18ece651e34f639,
2,,365fb1223d8af225dd36bc4d9e9fe3f30ebfb803074da0dea330aaa08ac7d9c6,
2,,611021eaaa2692741b1236bbcea54c6aa9f20ba30cace316c3a93d45089a7d0f,
2,,4d249d6035270e73d79a3b485064ddaf5c7069981409b8b4e17a8d69f70b50ac,
2,,4ad4cd6d63851b9efefd4fc66f334e6ba62b25c635ae9166cf36aca23450d314,
2,,79d4fa6ed3ba9dbe40283d12edef11d36b6cda8063a75d7c5452534de9346ca3,
2,,7e7e9c42a91bfef19fa929e5fda1b72e0ebc1a4c1141673e2794234d86addf4e,
2,,68121a41ddeca140f344206a8c18734bd738e3eb69d32a652b99c2cbef13c48d,
2,,89eeeef04fe459a430d1c6eabb7f7f8dfd675360dcb637f3db1335896f006fbf,
2,,4a87d0d66bce8d69174b1045536d38689b2386816513d33a45ab4af462bafc55,
2,,14e161c560ffdf201599acde58fd2d22fd6b699b13e0ed4d7d77d74b3a517837,
2,,aea377b902a33a417387ba8fb6f37121a7fd8184e93b39575ac94f0a4d95865a,
2,,30ceb64e73197a05958c8bd92ab079c815bb44fbfbb3eb5d9766c5207f08bdf5,
2,,80c77231415ae664545e1d318dde3b3b7be2a12843c2d962cf142b8be5e755d7,
2,,265e03bf1a62908d846c3556840ee4e25f4f80b7cab981120bc0e91613d720c2,
2,,bfc931f672e1f87d8b509d8678311e9837995060327341562286874203cda079,
2,,1eb36bd6a29bc2b1a640b8c76110661ef12ba8e231babfe4596614a7a748dd6a,
2,,d69f10a4d525806bc0775b048edf46a394db6378b896b20f8810aff693ff4c36,
2,,c20dd644e0476328e71672489a280c3ebb17c6304bb0f25937802f1e5135a438,
2,,382557a6a2a0868b7ee6d0c752bcde77557eff441b5cdec9f38db2228b150fa5,
2,,f1ba903f0aebfacefe5b0576ca9d83e6b868804392347cf66a2d43653b9dc065,
2,,3ab4c8ea97cd164d17f68990c1006e21e87f31a919a7013ecf2dae2e416938fd,
2,,66e8514fbd787e5bf84ec04414b848540a05dc169b4db74fec8693eed61565dc,
2,,53d7309b676bca328da622823f69a97326b96c77277d3bd52d976dff0dc30346,
2,,8a9a38af6c24a0ed74edf57788173d86f4d0fabef52f5941763c386e52ed57b1,
2,,ad91effb3d292f55712272b363d3081095af9cb9d80ae0aeddca7b78d682ab27,
2,,a908aafee297cab9dfe408de3a94ef06b3e67498c19d9a5ab6f36d3fd86f4732,
2,,a0b05c06484bc3de9107020ccd00a56c7654cdac445a234cfad739cf520a5918,
2,,d579b858c142c835062b2feda8a4abe31680d7bf37ee3707129e0475e7bd70d6,
2,,d66cd2f95f48f237bdd43be01520dd08240299f9c0627794b369b6a3391fdfe6,
2,,f4c6649ab1de9183f71f004160a319f4b779f1f1726a9e4649dc83ebe66a922c,
2,,ef8fc71c7bb2817d71492ccd59b86b0b8d0bed493353941a8d8423b326bf211f,
2,,6adde1be3519b64380ce759b69a72cf4f4bb89dd22f88e16e3e2d279fea36b63,
2,,b451051102aa6c6b0fbb1b1968fc251082c94ed4d38efceb16602f3be4b8dbd0,
2,,0f947c00d5bd220c114de02ed6aba449b1774b3eea6019a74e374c9567c46b3c,
2,,0105129d66049a126994848b180a239f2548ef0931fe585f78240a23469f1a18,
2,,5d174143990b20e27ffc5353442ea2661a948bbcb0407ee23f04961497a9ed4e,
2,,59cda2cc19810a67ad61c3d77b0ba090a6e1a4a788586db1031d250716b378c4,
2,,666a2fdd264c423b64fa443c72a514a8fcb9366149109a85c131c845090ae8a4,
2,,73ba5bd059ac8f237ee73a71aa016bdb241c7f6155af27c947c8b3caa0dc7b74,
