h_tag,group_name,id_shape,n_relay_instances,relays_or_relay_keys
npub14dpnzt355h95uwp5ce60uaqev2sdyx3ty4mrzs9uu9can4k0pwvsgqqxgq:testTunaTutu,test tuna tutu,npub-namespaced,2,key:511258b8 key:ab43312e
npub16enecjcqe2zd0ahzjkawuhnevmdxxvcl4npyfp6kke6xsunx364qglpyyy:tickleMonstaHouse,tickle monsta house,npub-namespaced,2,key:d6679c4b key:daf0812f
npub17zdqdjaklrjxyefmd0rwxevs056fxu4zfvvx2c9wag0wzhv4r2tqvk4rh5:shimmyBoySalad,shimmy boy salad,npub-namespaced,2,key:5e7e1a5f key:f09a06cb
npub183e2mk60muy6l98se9xhl6f28p48uux03gwctytrs6aj2dw8kxcsw0rcm2:s19-19c7d7fb17a-5b46-group,S19-19c7d7fb17a-5b46-group,npub-namespaced,2,key:2c0b7cf9 key:3c72addb
npub183e2mk60muy6l98se9xhl6f28p48uux03gwctytrs6aj2dw8kxcsw0rcm2:s19-19c7d87a642-9903-group,S19-19c7d87a642-9903-group,npub-namespaced,2,key:2c0b7cf9 key:3c72addb
npub183e2mk60muy6l98se9xhl6f28p48uux03gwctytrs6aj2dw8kxcsw0rcm2:s19-19c7dc3b8b2-054b-group,S19-19c7dc3b8b2-054b-group,npub-namespaced,2,key:2c0b7cf9 key:3c72addb
npub183e2mk60muy6l98se9xhl6f28p48uux03gwctytrs6aj2dw8kxcsw0rcm2:s19-19c7dcba180-16de-group,S19-19c7dcba180-16de-group,npub-namespaced,2,key:2c0b7cf9 key:3c72addb
npub19d86sh8tc3yeus070xus600jf672ymygvjswyzpcxu3wxmmgpqmsn506k4:slobbaThaDonk,SLOBBA THA DONK,npub-namespaced,2,key:286fe8cd key:2b4fa85c
npub1aewpuzcz5ggvultmsudwvmn3gnyadzcuxmqvw89f3ykwdg7u7w7q7qtrcj:yuckyButt,yucky butt,npub-namespaced,2,key:7592868e key:ee5c1e0b
npub1dqflskkn5e2ny3hgpdn43syg2ywdnvt2p0m3h48eut4kkw27dj9snq7ya8:testGoggas,test goggas,npub-namespaced,2,key:6813f85a key:e18f845e
npub1es39x75xamamxmtu7yqz2hjg7tq6yr9rcm5mkt0qrzgt07wdy28qducg0n:testGilbo,test gilbo,npub-namespaced,2,key:cc22537a key:e0dd50a9
npub1eu8lqngaedqn8jpteme7t3emc64jehrywxe0p52pcrvvps2l2mmq9zu05p:s19-19c83126d11-bf5f-group,S19-19c83126d11-bf5f-group,npub-namespaced,2,key:41c8dd1f key:cf0ff04d
npub1fncvaa7yppdlnkkd6kxpqhsr0deazl4z7lmkjweymw00j3a5jjesdjg4m7:zonk,ZONK,npub-namespaced,2,key:459fd777 key:4cf0cef7
npub1ghau6c0a3q750u424vj5xtk0fxaqhu5znl4yk5nwnrpq9f09jdesx5uwrh:yuckButtzDonk,yuck buttz DONK,npub-namespaced,2,key:45fbcd61 key:f9b47aae
npub1heduqa889nqae3phgg0yre6y6nvtzr6ynhtjsvdscdgxvpzjtsmqc3awh4:myNewGroup,My New Group,npub-namespaced,2,key:a39f1649 key:be5bc074
npub1hkyrsqqtgs2kanjfvfutwfqjm40e4v85ud0eeh2kfghlll0hk8hs7gac47:bigZonkay,BIG ZONKAY,npub-namespaced,2,key:350752a7 key:bd883800
npub1jyr8c346fwpmna8zq7e4rp0zu5fmh39ndfvjqnkn0srqa3vul9fs8wvyzv:testBollsache,test bollsache,npub-namespaced,2,key:15493b18 key:91067c46
npub1k8vgumd608hr49xlqppa67vl7tq77vakykxvsmk2aqy30as27m5qkfg5cm:barbaraFoccacia,barbara foccacia,npub-namespaced,2,key:a43871ba key:b1d88e6d
npub1lfpejvfe66a69zc7fzlxsc9gq4tlz23ecye43dh5uryphwsk3wcsdavmjs:testYagglesack,test yagglesack,npub-namespaced,2,key:3e76cc44 key:fa439931
