h_tag,group_name,id_shape,evidence_tier,n_relay_instances,n_verified_39000_signers,n_verified_39000_39001_39002_signers,relays_or_relay_keys,relay_pubkeys,kind10009_claimed_urls
clan-testerspace,,human-readable slug,B,2,1,2,key:4243fa74 key:7b535d71,4243fa7421ed09ca00811ce23520ce67dd9d4523aee79ce61af76590ca53c6f3 7b535d71bffa13e8853d049f0c9850dabf290e439462311def42ce737cb91611,
clan-testspace5,,human-readable slug,B,2,1,2,key:97c14136 key:c8b0d62d,97c14136c20b5171b7f26eeb5f879ba365169fa9859f308f2216b37faefaf94b c8b0d62d5135f43099605252447de344b94f709e56c9d04cd65c07a968f8ba17,
f9a8c3bb-d44b-4741-85d1-ce218bedee6c,it-f9a8c3bb,uuid,B,2,1,2,key:0fe6a881 key:907b304d,0fe6a8819535108c2b3a9cc618ca364f289f39c8a5cbc25cb9451d6bb8ea3864 907b304db875d0b534360320861da2952ddb216f97ba0fcbfebd858044cb3388,
mgdlofde,,human-readable slug,B,2,1,2,key:eeb822ac wss://mihhdu.org/nostr,bd658a7813f09b127296c4c8277c9b90891e004a9b13370ec2e79d285c066ef5 eeb822acbd93f0c0ba6d34c9abac7dfff0cc3d9f59eab451a825ace62758d744,
npub10ehaknf468l4zslnv0qecwtw20yf5jxats7408jdhar5rzj0tvts24d3q5:testSkibidiDingle,test skibidi dingle,npub-namespaced,B,2,1,2,key:0122c2ef key:7e6fdb4d,0122c2ef15d12aa52e32476870fc40b7c4b1c081394d456bc063bc351aa74b04 7e6fdb4d35d1ff5143f363c19c396e53c89a48dd5c3d579e4dbf47418a4f5b17,
npub139slrjkltav9fazj7va6kkx20htz3cxhw088acaununnuxcee9vqyyg8m2:yuckyButtzVagene,yucky buttz vagene,npub-namespaced,B,2,1,2,key:8961f1ca key:e95c17a9,8961f1cadf5f5854f452f33bab58ca7dd628e0d773ce7ee3bc9f273e1b19c958 e95c17a9b3535c27dafd4b4bbb263eddb1cd2d4692ee945b6e523c0740a52a76,
npub14d6pywa0ed9h7ckvcmkrdw6nl4v2zkk37r4u5x7w03z8wt84unpq65t0tj:s19-19c8345e5aa-2761-group,S19-19c8345e5aa-2761-group,npub-namespaced,B,2,1,2,key:91e445e9 key:ab74123b,91e445e949972424ff1021c1af4cb177ff9fcaa62e5a89849e3862b5cafd5420 ab74123bafcb4b7f62ccc6ec36bb53fd58a15ad1f0ebca1bce7c44772cf5e4c2,
npub14dpnzt355h95uwp5ce60uaqev2sdyx3ty4mrzs9uu9can4k0pwvsgqqxgq:testTunaTutu,test tuna tutu,npub-namespaced,B,2,1,2,key:511258b8 key:ab43312e,511258b8f4f9429327b1c1deb2fd8db4c1b26fe8e7d3d8cbbb432014b7bb60da ab43312e34a5cb4e3834c674fe741962a0d21a2b25763140bce171d9d6cf0b99,
npub16enecjcqe2zd0ahzjkawuhnevmdxxvcl4npyfp6kke6xsunx364qglpyyy:tickleMonstaHouse,tickle monsta house,npub-namespaced,B,2,1,2,key:d6679c4b key:daf0812f,d6679c4b00ca84d7f6e295baee5e7966da63331facc2448756b6746872668eaa daf0812f9c0d157fc31bc205d68c6187f480b1c75874a7177264ef12d566697e,
npub17zdqdjaklrjxyefmd0rwxevs056fxu4zfvvx2c9wag0wzhv4r2tqvk4rh5:shimmyBoySalad,shimmy boy salad,npub-namespaced,B,2,1,2,key:5e7e1a5f key:f09a06cb,5e7e1a5fcd1efdec8a4c33ee21f616066b7d70edde51c6f1404d8f07f0eae6c6 f09a06cbb6f8e462653b6bc6e365907d349372a24b186560aeea1ee15d951a96,
npub183e2mk60muy6l98se9xhl6f28p48uux03gwctytrs6aj2dw8kxcsw0rcm2:s19-19c7d7fb17a-5b46-group,S19-19c7d7fb17a-5b46-group,npub-namespaced,B,2,1,2,key:2c0b7cf9 key:3c72addb,2c0b7cf95324a07d05398b240174dc0c2be444d96b159aa6c7f7b1e668680991 3c72addb4fdf09af94f0c94d7fe92a386a7e70cf8a1d85916386bb2535c7b1b1,
npub183e2mk60muy6l98se9xhl6f28p48uux03gwctytrs6aj2dw8kxcsw0rcm2:s19-19c7d87a642-9903-group,S19-19c7d87a642-9903-group,npub-namespaced,B,2,1,2,key:2c0b7cf9 key:3c72addb,2c0b7cf95324a07d05398b240174dc0c2be444d96b159aa6c7f7b1e668680991 3c72addb4fdf09af94f0c94d7fe92a386a7e70cf8a1d85916386bb2535c7b1b1,
npub183e2mk60muy6l98se9xhl6f28p48uux03gwctytrs6aj2dw8kxcsw0rcm2:s19-19c7dc3b8b2-054b-group,S19-19c7dc3b8b2-054b-group,npub-namespaced,B,2,1,2,key:2c0b7cf9 key:3c72addb,2c0b7cf95324a07d05398b240174dc0c2be444d96b159aa6c7f7b1e668680991 3c72addb4fdf09af94f0c94d7fe92a386a7e70cf8a1d85916386bb2535c7b1b1,
npub183e2mk60muy6l98se9xhl6f28p48uux03gwctytrs6aj2dw8kxcsw0rcm2:s19-19c7dcba180-16de-group,S19-19c7dcba180-16de-group,npub-namespaced,B,2,1,2,key:2c0b7cf9 key:3c72addb,2c0b7cf95324a07d05398b240174dc0c2be444d96b159aa6c7f7b1e668680991 3c72addb4fdf09af94f0c94d7fe92a386a7e70cf8a1d85916386bb2535c7b1b1,
npub19d86sh8tc3yeus070xus600jf672ymygvjswyzpcxu3wxmmgpqmsn506k4:slobbaThaDonk,SLOBBA THA DONK,npub-namespaced,B,2,1,2,key:286fe8cd key:2b4fa85c,286fe8cdb5968fee23436ffb3f5e99bfa6059d77bfc24ce016220aab139b5c58 2b4fa85cebc4499e41fe79b90d3df24ebca26c8864a0e208383722e36f680837,
npub1aewpuzcz5ggvultmsudwvmn3gnyadzcuxmqvw89f3ykwdg7u7w7q7qtrcj:yuckyButt,yucky butt,npub-namespaced,B,2,1,2,key:7592868e key:ee5c1e0b,7592868ecf5bb76e8618cb3457f977f80c6b54c36e321073e116c2d144d4cae3 ee5c1e0b02a210ce7d7b871ae66e7144c9d68b1c36c0c71ca9892ce6a3dcf3bc,
