h_tag,group_name,id_shape,evidence_tier,n_relay_instances,n_verified_39000_signers,n_verified_39000_39001_39002_signers,relays_or_relay_keys,relay_pubkeys,kind10009_claimed_urls
npub1dqflskkn5e2ny3hgpdn43syg2ywdnvt2p0m3h48eut4kkw27dj9snq7ya8:testGoggas,test goggas,npub-namespaced,B,2,1,2,key:6813f85a key:e18f845e,6813f85ad3a6553246e80b6758c088511cd9b16a0bf71bd4f9e2eb6b395e6c8b e18f845ec7a347b05858c8d63b938ddd2503d5c2957a3137b1f337be651ce1ff,
npub1es39x75xamamxmtu7yqz2hjg7tq6yr9rcm5mkt0qrzgt07wdy28qducg0n:testGilbo,test gilbo,npub-namespaced,B,2,1,2,key:cc22537a key:e0dd50a9,cc22537a86eefbb36d7cf100255e48f2c1a20ca3c6e9bb2de01890b7f9cd228e e0dd50a90bea66e32ab8d1aa9ce24890b1b72121fb7a0c7004acae1145ce07e6,
npub1eu8lqngaedqn8jpteme7t3emc64jehrywxe0p52pcrvvps2l2mmq9zu05p:s19-19c83126d11-bf5f-group,S19-19c83126d11-bf5f-group,npub-namespaced,B,2,1,2,key:41c8dd1f key:cf0ff04d,41c8dd1fd4cbea1430ba37763513d08976254fb9bad47e95fe328d24c46a85b7 cf0ff04d1dcb4133c82bcef3e5c73bc6ab2cdc6471b2f0d141c0d8c0c15f56f6,
npub1fncvaa7yppdlnkkd6kxpqhsr0deazl4z7lmkjweymw00j3a5jjesdjg4m7:zonk,ZONK,npub-namespaced,B,2,1,2,key:459fd777 key:4cf0cef7,459fd777db153a6dce4b400a0405ca1a3e277b8829904e9dc3181640a75a836a 4cf0cef7c4085bf9dacdd58c105e037b73d17ea2f7f7693b24db9ef947b494b3,
npub1ghau6c0a3q750u424vj5xtk0fxaqhu5znl4yk5nwnrpq9f09jdesx5uwrh:yuckButtzDonk,yuck buttz DONK,npub-namespaced,B,2,1,2,key:45fbcd61 key:f9b47aae,45fbcd61fd883d47f2aaab25432ecf49ba0bf2829fea4b526e98c202a5e59373 f9b47aaed1d1cce2a9ec5283968ca1668620fec52db97c8785c84959e537850f,
npub1heduqa889nqae3phgg0yre6y6nvtzr6ynhtjsvdscdgxvpzjtsmqc3awh4:myNewGroup,My New Group,npub-namespaced,B,2,1,2,key:a39f1649 key:be5bc074,a39f1649932f6a6424b4161b75d71026e36719e006dd24fadd7f73447bede588 be5bc074e72cc1dcc437421e41e744d4d8b10f449dd72831b0c3506604525c36,
npub1hkyrsqqtgs2kanjfvfutwfqjm40e4v85ud0eeh2kfghlll0hk8hs7gac47:bigZonkay,BIG ZONKAY,npub-namespaced,B,2,1,2,key:350752a7 key:bd883800,350752a75d3067aea5b512b727132c68003348ecf223f77efabf411e2df68f66 bd8838000b44156ece496278b72412dd5f9ab0f4e35f9cdd564a2ffffdf7b1ef,
npub1jyr8c346fwpmna8zq7e4rp0zu5fmh39ndfvjqnkn0srqa3vul9fs8wvyzv:testBollsache,test bollsache,npub-namespaced,B,2,1,2,key:15493b18 key:91067c46,15493b186e634aa66fc5637ee5115c7eeeebe65609c5d8cd0c9b7f0d08b3dd0b 91067c46ba4b83b9f4e207b35185e2e513bbc4b36a59204ed37c060ec59cf953,
npub1k8vgumd608hr49xlqppa67vl7tq77vakykxvsmk2aqy30as27m5qkfg5cm:barbaraFoccacia,barbara foccacia,npub-namespaced,B,2,1,2,key:a43871ba key:b1d88e6d,a43871ba21c1d5e4915c9393728f07d78384208ed9b4ab6f83baefac84efb9b0 b1d88e6dba79ee3a94df0043dd799ff2c1ef33b6258cc86ecae80917f60af6e8,
npub1lfpejvfe66a69zc7fzlxsc9gq4tlz23ecye43dh5uryphwsk3wcsdavmjs:testYagglesack,test yagglesack,npub-namespaced,B,2,1,2,key:3e76cc44 key:fa439931,3e76cc4449a5ff3efffe30715aabd9ff162d353ca0ce849a540b219d3e357570 fa43993139d6bba28b1e48be6860a80557f12a39c13358b6f4e0c81bba168bb1,
npub1mv0d5wxc76rnexts3ll8p0d9u3xvywxsht4stk9umej3ng20mykqkvqppt:turdstinky,turdstinky,npub-namespaced,B,2,1,2,key:67553b9d key:db1eda38,67553b9d8333b0973e0c4ecdfeb84dfec9b2f96cc7e54902494c3f38bf8a504b db1eda38d8f6873c99708ffe70bda5e44cc238d0baeb05d8bcde6519a14fd92c,
npub1q6fpdd3azzkka455mgd8wfg55k9csgsefdlcm6x6z3cu02x2z9ps684gf8:testYuckYuck,test yuck yuck,npub-namespaced,B,2,1,2,key:069216b6 key:e44e4acd,069216b63d10ad6ed694da1a772514a58b8822194b7f8de8da1471c7a8ca1143 e44e4acdb311bab184a58a2dfe38b5aa0f198cd55188e7f6ad3e8b80b48db31b,
npub1rcuh7h6v6hqaz23s8c6d424zr7qdtcu4zqjnfcdgfz833qz3g0aqkrmlfx:testFoggleschmits,test foggleschmits,npub-namespaced,B,2,1,2,key:1e397f5f key:69472b29,1e397f5f4cd5c1d12a303e34daaaa21f80d5e395102534e1a8488f18805143fa 69472b295b0d32839b6ba765b80f750ee7717a8555a7fe76474c2ae70d080347,
npub1rn244v3mnqq57z6g3fcjugu7rg2gveet9am08svph5sqxm6ezcnslalhvc:testGargleMeats,test gargle meats,npub-namespaced,B,2,1,2,key:1cd55ab2 key:f00fb1e7,1cd55ab23b98014f0b488a712e239e1a1486672b2f76f3c181bd20036f591627 f00fb1e7bdd0d4765a69e67916215dc27593bfe6812f7a5d65d8af92ffc6adab,
npub1sg27aflk3mu9vw0kk293rpqmyssvz44pwfde4emane6f70qnxulse3w56a:jimmyJangaSalami,Jimmy JANGA SALAMI,npub-namespaced,B,2,1,2,key:8215eea7 key:8310696a,8215eea7f68ef85639f6b28b11841b2420c156a1725b9ae77d9e749f3c13373f 8310696a3ae8982cd05daf0c528c8d399b638ffaa1408afeb3b6165028f65de8,
npub1svgxj636azvze5za4ux99ryd8xdk8rl659qg4l4nkct9q28kth5qcp6av7:scubaGoodingJrFoundation,SCUBA GOODING JR FOUNDATION,npub-namespaced,B,2,1,2,key:6ce1d910 key:8310696a,6ce1d910f590dd612320b21491b9c3ae3a61453cf68028ba5a46de816ef08d10 8310696a3ae8982cd05daf0c528c8d399b638ffaa1408afeb3b6165028f65de8,
npub1svrmldxn8elnyfkvtcnkrryuhrua6sgcduucyyne2cjpu75ev2dsjffyls:wildSillyBoys,wild silly boys,npub-namespaced,B,2,1,2,key:8307bfb4 key:fb981aaf,8307bfb4d33e7f3226cc5e27618c9cb8f9dd41186f3982127956241e7a99629b fb981aaf6ec2544c741f3219de53536fb0d07b5639154b674d80f9f017da8088,
npub1szhzl9mcrgce6zwwxklvch8vk69hm0chdlc2z772mev464m06x0s2jk4ta:testBeenis,test beenis,npub-namespaced,B,2,1,2,key:6d26c0ca key:80ae2f97,6d26c0ca9e8eeb6ed920cf6c48e4e402a7c1592e1c38a121eb7f9f09482e56f2 80ae2f97781a319d09ce35becc5cecb68b7dbf176ff0a17bcade595d576fd19f,
npub1tjtk48gnrjmuuqqkvt32yr8fhfjmpp7x6ytvvgjx77m6z05yjwus064en7:meatstickDonks,meatstick donks,npub-namespaced,B,2,1,2,key:1dab008b key:5c976a9d,1dab008b8292851d98a382a1b562a70ec930ebe99907eaa533d8943b8dfa7730 5c976a9d131cb7ce001662e2a20ce9ba65b087c6d116c62246f7b7a13e8493b9,
npub1vqnsdlwul0wd59xh6xagtcjedn2vvf2l5cwvz2weffh7ffjfq3gq0352qh:scoobyDoots,Scooby DOOTS,npub-namespaced,B,2,1,2,key:031aea4b key:602706fd,031aea4b7a4fe5a48c4a95898e6807500048f772e62975af88f88f2b8ebbc567 602706fddcfbdcda14d7d1ba85e2596cd4c6255fa61cc129d94a6fe4a6490450,
npub1vyawdp3z3s7n0af0fyens40qzuxyqpwd7csy7vpyfq9daccekpdqltqanf:yelbowFishermen,yelbow fishermen,npub-namespaced,B,2,1,2,key:613ae686 key:8c1a02cf,613ae686228c3d37f52f49333855e0170c4005cdf6204f3024480adee319b05a 8c1a02cf0c3cc041548072e2377152f170a4cf08c2b2a7c57c4d7546ec35e058,
npub1wm5h5sru6mzqnqfg3cl9t5pc5pl0l5066uwr7w9c5dtpewqefn8qw4m4nt:testYarglemeeps,test yarglemeeps,npub-namespaced,B,2,1,2,key:76e97a40 key:e18f845e,76e97a407cd6c40981288e3e55d038a07effd1fad71c3f38b8a3561cb8194cce e18f845ec7a347b05858c8d63b938ddd2503d5c2957a3137b1f337be651ce1ff,
npub1xwkd36h0ek6yahjyz4jljnctezpkksgj9k4tkq94yrd2td0lt8ksmpgxxl:s19-19c82ca9224-a2aa-group,S19-19c82ca9224-a2aa-group,npub-namespaced,B,2,1,2,key:3339498a key:33acd8ea,3339498a6f4e5ba9bbea65f7bd20dc8e5cd89e996879e69088b79770927b52cb 33acd8eaefcdb44ede441565f94f0bc8836b41122daabb00b520daa5b5ff59ed,
npub1y49x8wmm0zgcjt0eqegjketkucnrqhy5m656uqygfauu2m3fszzqqh2lzg:s19-19c83384aa9-60c8-group,S19-19c83384aa9-60c8-group,npub-namespaced,B,2,1,2,key:254a63bb key:dcb5d244,254a63bb7b7891892df906512b6576e626305c94dea9ae00884f79c56e298084 dcb5d2448529d05a886a3b59bffd83e065fc87970e2ff54966a9aa7262b3e3a9,
npub1yge23k5uvrj3k0jss9cw4tadhqspsjf0k9h7ce8nyuqze0kuveqqryp9y8:testMoomoomama,test moomoomama,npub-namespaced,B,2,1,2,key:2232a8da key:dd24948d,2232a8da9c60e51b3e508170eaafadb82018492fb16fec64f327002cbedc6640 dd24948d2c90d248ff9031c71828b4e86c583667b6bcb7cc2bdb9f8cbd22ccfd,
npub1zqhy595g9wgul2tfrugvj8st8u9ptvsew9jm9r3m5ev9598uutesc7eyn4:test24Fresh,test 24 fresh,npub-namespaced,B,2,1,2,key:102e4a16 key:34974b32,102e4a16882b91cfa9691f10c91e0b3f0a15b2197165b28e3ba6585a14fce2f3 34974b32b955e6cfadb034ed19f12cee7269b3e830afe9a28400204af8e69c6a,
camp_tXBtTEUPlg,,human-readable slug,B,2,0,2,key:a55e335c key:e5e56929,a55e335c4537921c7a33e5011011a4b665efe337a4ab2ccb5bd871a9c61d7470 e5e569296aa8c653c94cbdd4b752228820f5470e016590b339cd0f3183d85b79,
friend:1d5d6596be14d3464b5e8deb1947739b350ac84b5525e2f5caa354a8e0c3815d:feeb965a576e778045f33045ee92d9522773235c4be22736078b10e0b89d5980,,human-readable slug,B,2,0,2,key:1d5d6596 key:feeb965a,1d5d6596be14d3464b5e8deb1947739b350ac84b5525e2f5caa354a8e0c3815d feeb965a576e778045f33045ee92d9522773235c4be22736078b10e0b89d5980,
friend:26497f80c698dddf7a2790acdfa7a8982fd559c5f2ce52b4a6e19fc30435637d:e1f1d2184f4e7e9387e0b6374de25b031a3a6a6b4caf4542ac1294c0e53cf3c0,,human-readable slug,B,2,0,2,key:26497f80 key:e1f1d218,26497f80c698dddf7a2790acdfa7a8982fd559c5f2ce52b4a6e19fc30435637d e1f1d2184f4e7e9387e0b6374de25b031a3a6a6b4caf4542ac1294c0e53cf3c0,
friend:502069150214833890f70fd3dc3adab4e5cffdd1186efe2af84f0fa24873d4de:10ce08b45e1185612879d7d83f68faef3499d7d531c17c29a85aaf2aed8b9672,,human-readable slug,B,2,0,2,key:10ce08b4 key:50206915,10ce08b45e1185612879d7d83f68faef3499d7d531c17c29a85aaf2aed8b9672 502069150214833890f70fd3dc3adab4e5cffdd1186efe2af84f0fa24873d4de,
friend:578082c22e35383d4291d22ac3978266056cbed9e991a32d6463c64ce418e1d2:870a11b1df668122fe938eaf0c6d34a240e9321ea3d7fa17915824501b3ff6a2,,human-readable slug,B,2,0,2,key:578082c2 key:870a11b1,578082c22e35383d4291d22ac3978266056cbed9e991a32d6463c64ce418e1d2 870a11b1df668122fe938eaf0c6d34a240e9321ea3d7fa17915824501b3ff6a2,
friend:5af8945d9db2af8dd06feb8f0c0f131be4b920847d02032995b5615b2cd134c6:8c2ab1f3dddad172e14fb60c26971ba8031eca55ce9ac1f039b51a377f8c7a6b,,human-readable slug,B,2,0,2,key:5af8945d key:8c2ab1f3,5af8945d9db2af8dd06feb8f0c0f131be4b920847d02032995b5615b2cd134c6 8c2ab1f3dddad172e14fb60c26971ba8031eca55ce9ac1f039b51a377f8c7a6b,
friend:6fca75bf31841757980a9e0a5e7f39698f824e5978288c20a3f65235224b66c6:8b56989ebbf40daa0693eefbb61d1fc06fecde0af0206982f0cd3141424e33f1,,human-readable slug,B,2,0,2,key:6fca75bf key:8b56989e,6fca75bf31841757980a9e0a5e7f39698f824e5978288c20a3f65235224b66c6 8b56989ebbf40daa0693eefbb61d1fc06fecde0af0206982f0cd3141424e33f1,
friend:98b2793a435c25ad2b900b2ae9f2de1d9b54cc8eb7be92a00334b1301181fe15:fc5bcdfc8a6a381abfab88ffc63af786a3350c23cd6c8f23c53b2a2a1072db17,,human-readable slug,B,2,0,2,key:98b2793a key:fc5bcdfc,98b2793a435c25ad2b900b2ae9f2de1d9b54cc8eb7be92a00334b1301181fe15 fc5bcdfc8a6a381abfab88ffc63af786a3350c23cd6c8f23c53b2a2a1072db17,
friend:b92911e5efb30ad8243f817c7e9a43cbf1ed5a7d38976cbf945d0eac2961a4ac:098069abf1ff3da3b0b0028b65465f990df692319796894387db21cc9edbcdfe,,human-readable slug,B,2,0,2,key:098069ab key:b92911e5,098069abf1ff3da3b0b0028b65465f990df692319796894387db21cc9edbcdfe b92911e5efb30ad8243f817c7e9a43cbf1ed5a7d38976cbf945d0eac2961a4ac,
friend:d8e25a7c23841d9e203e12063f76c0ef44772b4b297eddf232ff330ddeb09bb7:334006c5d8fb2c35bf809364c91955f33b11408de95df47f9f22c1f3fe610189,,human-readable slug,B,2,0,2,key:334006c5 key:d8e25a7c,334006c5d8fb2c35bf809364c91955f33b11408de95df47f9f22c1f3fe610189 d8e25a7c23841d9e203e12063f76c0ef44772b4b297eddf232ff330ddeb09bb7,
friend:d8e25a7c23841d9e203e12063f76c0ef44772b4b297eddf232ff330ddeb09bb7:f9a395e654962bf34c6a34b6358793f88abd40ebdcc156a7f56ef68126e3ae05,,human-readable slug,B,2,0,2,key:d8e25a7c key:f9a395e6,d8e25a7c23841d9e203e12063f76c0ef44772b4b297eddf232ff330ddeb09bb7 f9a395e654962bf34c6a34b6358793f88abd40ebdcc156a7f56ef68126e3ae05,
poker-game,,human-readable slug,C,11,0,0,key:2c84cb0d key:52b3c29a key:69693ff0 key:6e566cc7 key:9c67716c key:a9480917 key:aa758389 key:bc7b36eb key:da0fb4cc key:e41ad39c key:f6db36f1,2c84cb0dc136f6f752fa304ace17803fdad5f10c53062d63e8f9890ea60c13cd 52b3c29a7c9fc52c31ce2c6c7efc1eb97c462058869457dd509824533f8aedf7 69693ff04c040bd7e4742606381fa195db5810b469ee8c02802cb4a1f3327f2b 6e566cc77929452bd245f53ecc193a7e25332855c86299f222acde5740f0db57 9c67716c499c52ec00033091867266fb720019175d70f179d66c4f648ad283da a9480917723e484e104f00ea85f3be951d509e22183a77e01ba3cf3126b89ca4 aa758389d26ec4ac316ada45a9c4d064be1e4aac5404a88231e061a0988d2bcf bc7b36eb7974d0173dc99f279eba1def8342022ab46f68526a4848450955a634 da0fb4cc6f883a58ba42c3a66adf943d48e7fa8d5919cc0c8da2287935dbc501 e41ad39ce9bab2e0fc7a9a693fed17a6767e87bb227b390028f3ff5a972e864f f6db36f1bbd5d49c3aff09b2a73ce76316b74b49acd16e215a5169b23c1e28d9,
26a9cceda473cb1b,💬 General Chat,random hex-16,C,3,1,1,key:385c3a6e key:52623aec key:f9b3bad7,385c3a6ec0b9d57a4330dbd6284989be5bd00e41c535f9ca39b6ae7c521b81cd 52623aecd77c85d99551d17c5c8d688abd0c140a7e08588d6ec01a8000af5a41 f9b3bad79fb66ba0cc9aa049c1ccd974a2249bdb5f1f99d9ddb007852269c79b,wss://public.obelisk.ar
2ed3e14eed731b08b5822cb49863aa53,Zap Cooking Friends,random hex-32,C,2,1,1,key:2798982f key:34263017,2798982ffb0ccd0441e3eb2bb523cffb715ef132141e36de4c5bc5283526e55c 34263017d8d671ee904fc5e1e2e28c8358fb0a689b97a039b1c384e3b68c58e6,wss://pantry.zap.cooking
402bab5511d86a21,🎙️ Voice P2P,random hex-16,C,2,1,1,key:385c3a6e key:f9b3bad7,385c3a6ec0b9d57a4330dbd6284989be5bd00e41c535f9ca39b6ae7c521b81cd f9b3bad79fb66ba0cc9aa049c1ccd974a2249bdb5f1f99d9ddb007852269c79b,
5e20ad1b10932efbd4355b1b5885a9bd,Garlicstr 🧄,random hex-32,C,2,1,1,key:2798982f key:34263017,2798982ffb0ccd0441e3eb2bb523cffb715ef132141e36de4c5bc5283526e55c 34263017d8d671ee904fc5e1e2e28c8358fb0a689b97a039b1c384e3b68c58e6,wss://pantry.zap.cooking
911f9134a48ae0c2,🟣 NOSTR,random hex-16,C,2,1,1,key:385c3a6e key:52623aec,385c3a6ec0b9d57a4330dbd6284989be5bd00e41c535f9ca39b6ae7c521b81cd 52623aecd77c85d99551d17c5c8d688abd0c140a7e08588d6ec01a8000af5a41,
c27e014bcd51c6a87732ac7439fdfbdc,🍳 The Frugal Kitchen,random hex-32,C,2,1,1,key:2798982f key:34263017,2798982ffb0ccd0441e3eb2bb523cffb715ef132141e36de4c5bc5283526e55c 34263017d8d671ee904fc5e1e2e28c8358fb0a689b97a039b1c384e3b68c58e6,wss://pantry.zap.cooking
eb8d9bb9055c1057,Stress Test,random hex-16,C,2,1,1,key:385c3a6e key:52623aec,385c3a6ec0b9d57a4330dbd6284989be5bd00e41c535f9ca39b6ae7c521b81cd 52623aecd77c85d99551d17c5c8d688abd0c140a7e08588d6ec01a8000af5a41,
cascade-car-player,,human-readable slug,C,2,0,0,key:54c507c5 key:ac1374cd,54c507c5fb982213c899b87d5bc82dabd1e889816e1caccadfa1550f5994ed08 ac1374cd1f94d8c9d8b9c3d7758d7d66ada09f8bb272d00d56123882760155f7,
friend:6b7b4bec00dba9c66c1315ed681d1a0c3d2a5d5515005271dba30f17d01c4ebb:c005cef4c72884b6a2bdc057848118b0b45192f697183b7cd1d678d0569ecc60,,human-readable slug,C,2,0,1,key:6b7b4bec key:c005cef4,6b7b4bec00dba9c66c1315ed681d1a0c3d2a5d5515005271dba30f17d01c4ebb c005cef4c72884b6a2bdc057848118b0b45192f697183b7cd1d678d0569ecc60,
friend:d44287f31dc3e444f5295d4718c84de4304ed36a505bf6a252e41f4f6854445b:bb3d712cdb7f2a68cca1b16ce28cb7d96514c0bc38c9a8d40ad86d82b924ffeb,,human-readable slug,C,2,0,0,key:bb3d712c key:d44287f3,bb3d712cdb7f2a68cca1b16ce28cb7d96514c0bc38c9a8d40ad86d82b924ffeb d44287f31dc3e444f5295d4718c84de4304ed36a505bf6a252e41f4f6854445b,
